,tmpc,mean_load,min_load,max_load
2016-07-31,22.229166666666668,15482.164999999999,13793.8,16864.44
2016-08-01,22.3125,16172.1625,13162.48,18604.17
2016-08-02,20.045833333333334,15391.557083333333,12684.71,17373.11
2016-08-03,21.25,15574.769583333333,12127.32,18850.84
2016-08-04,22.150000000000002,16139.26375,12461.24,19766.81
2016-08-05,24.38695652173913,16830.344166666666,12912.68,20587.53
2016-08-06,25.791666666666668,16733.062916666666,13125.02,20509.43
2016-08-07,25.1875,15814.165416666669,13008.82,18967.12
2016-08-08,23.479166666666668,16718.562083333334,12993.51,20433.94
2016-08-09,23.6125,16923.72875,12836.36,20946.71
2016-08-10,24.804166666666664,17574.392916666668,14030.34,20219.6
2016-08-11,26.483333333333334,20642.1125,15517.95,25013.26
2016-08-12,27.537499999999998,21161.777916666666,16886.82,25462.83
2016-08-13,28.912499999999998,18414.675,16047.11,20926.48
2016-08-14,28.09166666666667,18964.554583333334,13621.83,23993.85
2016-08-15,25.858333333333334,19571.908333333333,16200.35,23266.47
2016-08-16,25.34583333333333,18531.467083333333,14706.99,21633.87
2016-08-17,25.679166666666664,18659.115,15063.16,20929.09
2016-08-18,24.900000000000002,17811.065,13575.44,22045.89
2016-08-19,25.05,17937.405416666665,14558.8,21431.51
2016-08-20,23.008333333333336,15978.565,13049.05,18791.14
2016-08-21,24.645833333333332,15979.36125,12781.34,19111.49
2016-08-22,20.662499999999998,15978.870833333334,12557.9,18022.37
2016-08-23,19.779166666666665,14629.23375,11205.85,17672.02
2016-08-24,22.6125,16209.059166666666,11532.78,20455.98
2016-08-25,24.15833333333333,17492.621666666666,13423.81,21050.01
2016-08-26,26.25,18813.071666666667,14526.14,23113.82
2016-08-27,24.962500000000002,16409.41833333333,13402.65,19430.51
2016-08-28,24.212500000000002,15697.234583333333,12611.78,19267.19
2016-08-29,24.941666666666666,17559.34375,13379.29,21420.86
2016-08-30,21.391666666666666,16120.644583333333,12769.25,19504.73
2016-08-31,22.741666666666664,16774.78625,13163.84,19469.03
2016-09-01,21.804166666666664,16415.450833333332,13522.59,18214.79
2016-09-02,20.349999999999998,14713.630416666667,12134.26,16889.96
2016-09-03,18.183333333333334,12657.558749999998,10717.95,14365.85
2016-09-04,19.004166666666666,12225.474166666667,10527.76,14192.33
2016-09-05,19.658333333333335,12418.9825,9786.39,15133.23
2016-09-06,21.208333333333332,14704.249583333332,11280.92,17196.46
2016-09-07,23.45,16077.6175,12332.98,18793.67
2016-09-08,24.724999999999998,17120.741666666665,13214.69,20416.82
2016-09-09,26.4375,18782.294166666667,14104.58,23033.85
2016-09-10,25.416666666666668,16385.443750000002,13933.41,18784.08
2016-09-11,22.979166666666668,15147.737916666667,12410.96,17101.47
2016-09-12,18.133333333333333,14044.746666666666,11305.2,16542.95
2016-09-13,20.233333333333334,14535.28625,11389.53,17479.72
2016-09-14,22.616666666666664,15731.299583333333,11623.91,19586.74
2016-09-15,16.254166666666666,13592.465416666666,11247.61,15570.12
2016-09-16,16.208333333333332,13162.917500000001,10626.6,14998.34
2016-09-17,17.879166666666666,12358.364166666666,10428.71,14709.74
2016-09-18,22.816666666666666,14202.7975,11295.88,17532.26
2016-09-19,21.912499999999998,15821.349583333335,12583.25,17855.9
2016-09-20,21.775000000000002,16028.798333333332,12373.44,18980.91
2016-09-21,20.554166666666667,15311.519999999999,12374.61,17818.44
2016-09-22,20.349999999999998,14809.87,11427.73,17878.53
2016-09-23,19.004166666666666,14310.910416666666,11730.0,16550.52
2016-09-24,14.208333333333334,11888.915416666665,10713.39,13503.22
2016-09-25,11.870833333333332,11379.308749999998,10012.51,13938.87
2016-09-26,12.545833333333334,12511.371249999998,9425.79,15174.1
2016-09-27,18.3625,13370.866666666667,10310.11,15774.5
2016-09-28,14.466666666666667,13229.962916666665,10742.96,15088.9
2016-09-29,14.570833333333333,12820.642083333332,10514.23,14908.76
2016-09-30,12.895833333333334,12768.234166666667,10446.38,14371.52
2016-10-01,11.179166666666667,11924.36625,9975.04,13575.0
2016-10-02,13.095833333333333,11840.935416666667,9742.9,14077.71
2016-10-03,17.620833333333334,13031.47875,9994.9,15474.98
2016-10-04,14.829166666666666,12921.832083333333,10067.32,15183.01
2016-10-05,12.275,12788.062083333332,10245.7,15127.76
2016-10-06,13.208333333333334,12873.290416666665,10229.51,15191.63
2016-10-07,14.583333333333334,12872.300833333333,10726.39,14656.91
2016-10-08,13.808333333333332,11907.175416666667,10138.54,13935.4
2016-10-09,12.758333333333333,11942.324999999999,9823.48,13890.62
2016-10-10,9.612499999999999,12311.582499999999,10060.27,14924.15
2016-10-11,8.799999999999999,12807.799166666666,10564.54,15140.18
2016-10-12,11.5,12863.1775,10579.73,15119.8
2016-10-13,14.258333333333333,13063.373749999999,10507.32,15343.65
2016-10-14,9.445833333333333,12566.927083333334,10631.51,14399.37
2016-10-15,8.129166666666666,11679.878333333334,10077.94,13512.63
2016-10-16,13.674999999999999,11493.099583333335,9507.02,14170.9
2016-10-17,19.212500000000002,13122.84875,9748.89,15958.67
2016-10-18,20.0,13494.449999999999,10764.03,15902.98
2016-10-19,20.370833333333334,13727.71875,10966.01,15946.09
2016-10-20,15.758333333333333,12931.652083333334,10472.97,15279.35
2016-10-21,18.229166666666668,13410.455,10383.09,15499.14
2016-10-22,10.104166666666666,12159.915,10444.16,13725.16
2016-10-23,10.466666666666667,11699.412916666666,10203.49,14104.54
2016-10-24,10.25,12593.606249999999,9744.44,15218.29
2016-10-25,6.391666666666667,13065.78875,10378.24,15744.61
